produit,nom,categorie,quantite,seuil_minimum,seuil_maximum,prix_unitaire,valeur_stock,taux_rotation,jours_stock,fournisseur,emplacement,date_derniere_maj,unite_mesure,delai_livraison,statut
PROD-001,Smartphone Galaxy S23,Électronique,150,20,500,899.99,134998.5,4.2,87,Fournisseur Européen,Zone A - Étagère 1,2024-02-10,Unité,7,Actif
PROD-002,Eau minérale 1.5L,Alimentaire,300,50,1000,0.89,267.0,10.5,35,Fournisseur A,Zone B - Réfrigéré,2024-01-25,Litre,3,Actif
PROD-003,T-shirt coton Blanc M,Textile,75,15,300,12.99,974.25,2.8,130,Fournisseur B,Zone A - Étagère 2,2024-02-15,Unité,14,Actif
PROD-004,Pièce auto A-004,Automobile,45,10,200,89.5,4027.5,1.2,304,Fournisseur C,Zone C - Palettes,2024-01-30,Unité,21,Actif
PROD-005,Médicament A-005,Pharmaceutique,800,100,900,15.75,12600.0,8.3,44,Fournisseur D,Zone D - Sécurisé,2024-02-18,Paquet,5,Actif
PROD-006,Produit Bricolage 006,Bricolage,25,5,150,34.99,874.75,0.8,456,Fournisseur E,Zone E - Rapide,2024-02-05,Unité,10,Actif
PROD-007,Écran LED 24",Électronique,5,15,100,199.99,999.95,3.5,104,Fournisseur Asiatique,Zone A - Étagère 1,2024-03-01,Unité,14,Actif
PROD-008,Pâtes Spaghetti 500g,Alimentaire,1200,200,1500,1.29,1548.0,9.8,37,Fournisseur A,Zone C - Palettes,2024-02-20,Kg,2,Actif
PROD-009,Jeans slim Bleu,Textile,60,10,250,49.99,2999.4,1.5,243,Fournisseur B,Zone A - Étagère 2,2024-02-12,Unité,21,Actif
PROD-010,Pièce auto B-010,Automobile,30,8,150,120.5,3615.0,0.9,406,Fournisseur C,Zone C - Palettes,2024-01-28,Unité,14,Actif
PROD-011,Médicament B-011,Pharmaceutique,550,80,600,8.99,4944.5,6.7,54,Fournisseur D,Zone D - Sécurisé,2024-02-22,Paquet,7,Actif
PROD-012,Produit Cosmétique 012,Cosmétique,180,25,400,24.5,4410.0,3.2,114,Fournisseur F,Zone A - Étagère 1,2024-02-08,Unité,10,Actif
PROD-013,Casque Bluetooth,Électronique,85,20,300,79.99,6799.15,5.1,72,Fournisseur Européen,Zone A - Étagère 1,2024-02-14,Unité,7,Actif
PROD-014,Riz Basmati 1kg,Alimentaire,950,150,1200,3.49,3315.5,11.2,33,Fournisseur A,Zone C - Palettes,2024-02-25,Kg,5,Actif
PROD-015,Pull laine polaire,Textile,40,8,200,39.99,1599.6,1.8,203,Fournisseur B,Zone A - Étagère 2,2024-02-16,Unité,21,Actif
PROD-016,Pièce auto C-016,Automobile,22,5,120,65.75,1446.5,1.1,332,Fournisseur C,Zone C - Palettes,2024-01-20,Unité,14,Actif
PROD-017,Médicament C-017,Pharmaceutique,700,90,750,12.25,8575.0,7.5,49,Fournisseur D,Zone D - Sécurisé,2024-02-28,Paquet,3,Actif
PROD-018,Produit Jouets 018,Jouets,120,20,500,19.99,2398.8,2.5,146,Fournisseur E,Zone E - Rapide,2024-02-03,Carton,14,Actif
PROD-019,Batterie externe 20000mAh,Électronique,200,30,600,34.99,6998.0,4.8,76,Fournisseur Asiatique,Zone A - Étagère 1,2024-02-19,Unité,21,Actif
PROD-020,Café moulu Arabica,Alimentaire,650,100,800,6.99,4543.5,8.9,41,Fournisseur A,Zone B - Réfrigéré,2024-02-23,Kg,7,Actif
